name,email,website,category,address,final_score,priority_level,status
"Adyar Ananda Bhavan","care@aabsweets.com","https://aabsweets.com","restaurant"," Whitefield Main Road, Bangalore, 560068",15,"WARM_LEAD","CLEANED/VALIDATED"
"Garden By Su","hello@gardenbysu.com","https://www.gardenbysu.com/","restaurant","499/32-4 9th Main, 46th Cross Rd, 5th Block, Jayanagar, Bangalore, 560078",15,"WARM_LEAD","CLEANED/VALIDATED"
"Rajdhani","asset-7@4x.png","https://www.rajdhani.co.in/","restaurant"," Whitefield Road, Bengaluru, 560048",15,"WARM_LEAD","CLEANED/VALIDATED"
"The Mark Boulevard","info@themarkboulevard.com","http://www.themarkboulevard.com/","restaurant","23 EPIP Zone, Whitefield, Bangalore, 560066",5,"COLD_LEAD","CLEANED/VALIDATED"
"Chinita","contact@chinita.in","https://www.chinita.in/","restaurant","218 Indiranagar Double Road, Bangalore, 560038",5,"COLD_LEAD","CLEANED/VALIDATED"
"Gulecha Dental Care","clinic@gulechadental.com","https://www.gulechadental.com/","hospital","32/29 4th Cross Road, KV Layout, Jayanagar 4th Block, Bangalore, 560011",5,"COLD_LEAD","CLEANED/VALIDATED"
"Welnext","hello@welnext.com","https://welnext.com/","hospital","65/8 Third Floor, H.S.R Agara Circle, Sarjapura, Outer Ring Rd, Agara Village, HSR Layout,, Bangalore, 560102",5,"COLD_LEAD","CLEANED/VALIDATED"
"Healing Earth Multispeciality Ayurveda Hospital","20info@healingearth.co.in","https://www.healingearth.co.in/","hospital","149 HSR Ring Road, 5th Sector , HSR Layout, Karnataka, Bengaluru, 560034",5,"COLD_LEAD","CLEANED/VALIDATED"
"Global Ayurveda Multispeciality Hospital","20info@healingearth.co.in","https://www.healingearth.co.in/","hospital","149 HSR Ring Road, 5th Sector , HSR Layout, Jakkasandra, 1st Block Koramangala, HSR Layout, Karnataka, Bengaluru, 560034",5,"COLD_LEAD","CLEANED/VALIDATED"
"Lotus Diagnostic Centre","lotusdiagnostic@gmail.com","https://lotusdiagnostic.com/","clinic","493 , CMH Road, Near ICICI Bank ATM,Indiranagar, Bengaluru, 560038",5,"COLD_LEAD","CLEANED/VALIDATED"
"Amplifon","amplifon-logo@3x.png","https://www.amplifon.in/","clinic","#174/148 26th Main Road, 4th T Block East, Jayanagara 9th Block, Banagalore, 560041",5,"COLD_LEAD","CLEANED/VALIDATED"
"Tommy Hilfiger","reportfraud@pvh.com","http://www.global.tommy.com","clothes"," Whitefield Road, Bengaluru, 560048",5,"COLD_LEAD","CLEANED/VALIDATED"
"Copper Chimney","info@charcoalconcepts.com","https://www.copperchimney.in/","restaurant"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, ,",5,"COLD_LEAD","CLEANED/VALIDATED"
"Manyavar","care@vedantfashions.com","https://www.manyavar.com/","clothes"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, 560048",5,"COLD_LEAD","CLEANED/VALIDATED"
"Allen Solly","happytohelp@abfrl.in","https://www.allensolly.com/","clothes"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, 560048",5,"COLD_LEAD","CLEANED/VALIDATED"
"Van Heusen","happytohelp@abfrl.in","https://www.vanheusenindia.com/","clothes"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram,, Bengaluru, 560048",5,"COLD_LEAD","CLEANED/VALIDATED"
"Louis Philippe","happytohelp@abfrl.in","https://www.louisphilippe.com/","clothes"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, 560048",5,"COLD_LEAD","CLEANED/VALIDATED"
"Reliance Digital","3bf253eee92641789b5f905ff366df63@o71740.ingest.sentry.io","https://www.reliancedigital.in/","electronics"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, 560048",5,"COLD_LEAD","CLEANED/VALIDATED"
"GlobalDesi","care@globaldesi.in","https://www.globaldesi.in/","clothes"," Whitefield Road, Bengaluru, 560048",5,"COLD_LEAD","CLEANED/VALIDATED"
"Welnext","hello@welnext.com","https://welnext.com/","hospital","65/8, Third Floor H.S.R Agara Circle, Sarjapura, Outer Ring Rd, Agara Village, HSR Layout, Bangalore, 560102",5,"COLD_LEAD","CLEANED/VALIDATED"
"Sorse","info@sorse.in","https://sorse.in","restaurant","33, Sundari Armadale, First Floor Whitefield Main Road, Whitefield, Bangalore, 560066",5,"COLD_LEAD","CLEANED/VALIDATED"
"Cloud Nine Hospital","info@cloudninecare.com","https://cloudninecare.com/","hospital"," Whitefield Main Road, Bangalore, 560066",0,"COLD_LEAD","CLEANED/VALIDATED"
"Mufti","support@muftijeans.in","https://www.muftijeans.in/","clothes"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, 560048",0,"COLD_LEAD","CLEANED/VALIDATED"
"Soch","support@soch.com","https://www.soch.com/in/","clothes"," Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, 560048",0,"COLD_LEAD","CLEANED/VALIDATED"
"Shathayu Ayurveda Wellness Centre","info@shathayu.com","https://shathayu.com/","clinic","301 1st Floor, Sidhapura Village, Beside D-Mart, Marathahalli, Varthur Main Road, Whitefield,, Bangalore, 560066",0,"COLD_LEAD","CLEANED/VALIDATED"
"Trust Chemist and Drugs","info@trustpharmacy.co.in","https://www.trustpharmacy.co.in/","pharmacy"," Thubarahalli, Whitefield, bangalore, 560066",0,"COLD_LEAD","CLEANED/VALIDATED"
